,0
0,0.98917496
1,1.4116329
2,1.8228468
3,3.94492
4,3.94492
5,1.6150695
6,3.94492
7,2.0132997
8,2.0851798
9,1.0731828
10,0.021020211
11,0.62160933
12,0.59977365
13,0.54596037
14,3.94492
15,0.4206508
16,2.9551597
17,1.0742276
18,0.24501197
19,3.6654804
20,0.3619275
21,0.90711063
22,-1.2061025
23,3.94492
24,3.94492
25,3.3788257
26,1.2243896
27,3.94492
28,-0.1371452
29,1.0379608
30,3.94492
31,1.6803203
32,1.2332666
33,-0.07287127
34,0.14647469
35,1.6720005
36,-0.28161415
37,1.588737
38,3.94492
39,1.4691155
40,-0.020689024
41,2.6665294
42,3.94492
43,2.6831405
44,3.94492
45,0.89302546
46,-1.3384933
47,0.049949486
48,1.3542949
49,0.26386446
50,3.94492
51,3.94492
52,3.94492
53,1.4439024
54,3.94492
55,3.94492
56,3.6277113
57,1.4426526
58,-0.006162191
59,0.14137048
60,-0.50542563
61,0.44394737
62,3.94492
63,3.94492
64,-0.3675688
65,3.94492
66,1.190255
67,3.1379743
68,0.9437576
69,0.3326803
70,3.636415
71,0.38714996
72,1.8592383
73,3.94492
74,3.94492
75,3.94492
76,1.8925929
77,1.4050689
78,3.94492
79,3.94492
80,2.5459058
81,0.38517448
82,-0.89019287
83,0.9863221
84,-0.12271972
85,1.4380354
86,3.2177737
87,3.94492
88,-0.30994672
89,3.8422124
90,-0.7197397
91,0.5186501
92,-1.2408859
93,3.7231178
94,1.0621643
95,0.05974149
96,-0.2604348
97,3.94492
98,3.94492
99,3.94492
100,3.94492
101,0.29287675
102,3.94492
103,3.94492
104,0.69968146
105,-0.17423674
106,-1.0427959
107,0.8910314
108,-0.5080145
109,0.4062124
110,3.94492
111,3.94492
112,3.94492
113,1.0580565
114,0.30629322
115,3.94492
116,-0.3145966
117,2.8700943
118,-0.954631
119,-0.49332413
120,0.57415026
121,3.4023786
122,3.94492
123,3.94492
124,3.94492
125,0.24974427
126,3.94492
127,3.94492
128,1.3685492
129,1.6270602
130,3.2513182
131,0.9078942
132,1.0393114
133,0.85473925
134,3.94492
135,3.94492
136,-0.99001163
137,2.2012563
138,-1.1260263
139,3.94492
140,3.94492
141,0.119857736
142,3.0360336
143,1.0124595
144,0.48939848
145,0.48289374
146,3.94492
147,3.94492
148,3.94492
149,0.021756466
150,3.94492
151,3.94492
152,0.32701224
153,0.6459354
154,-0.16376942
155,-0.66266567
156,0.21935543
157,0.3515224
158,3.7047038
159,3.94492
160,-0.41966483
161,3.94492
162,0.6074188
163,2.9624498
164,0.5428474
165,0.24849781
166,-0.120831415
167,0.2329932
168,0.98917496
169,1.4116329
170,1.8228468
171,3.94492
172,3.94492
173,1.6150695
174,3.94492
175,2.0132997
176,2.0851798
177,1.0731828
178,0.021020211
179,0.62160933
180,0.59977365
181,0.54596037
182,3.94492
183,0.4206508
184,2.9551597
185,1.0742276
186,0.24501197
187,3.6654804
188,0.3619275
189,0.90711063
190,-1.2061063
191,3.94492
192,3.94492
193,3.3788257
194,1.2243896
195,3.94492
196,-0.1371452
197,1.0379608
198,3.94492
199,1.6803266
200,1.2332666
201,-0.07287127
202,0.14647469
203,1.6720005
204,-0.28161415
205,1.588737
206,3.94492
207,1.4691155
208,-0.020689024
209,2.6665294
210,3.94492
211,2.6831405
212,3.94492
213,0.89302546
214,-1.3384933
215,0.049949486
216,1.3542949
217,0.26386446
218,3.94492
219,3.94492
220,3.94492
221,1.4439024
222,3.94492
223,3.94492
224,3.6277113
225,1.4426526
226,-0.006162191
227,0.14137048
228,-0.50542563
229,0.44394737
230,3.94492
231,3.94492
232,-0.3675688
233,3.94492
234,1.190255
235,3.1379743
236,0.9437576
237,0.3326803
238,3.636415
239,0.38714996
240,1.8592383
241,3.94492
242,3.94492
243,3.94492
244,1.8925929
245,1.4050689
246,3.94492
247,3.94492
248,2.5459058
249,0.38517448
250,-0.89019287
251,0.9863221
252,-0.12271972
253,1.4380354
254,3.217773
